process,lemma,nova_label,confidence,frequency
dash,dash,NOVA 1,0.6419678,52
snap,snap,NOVA 1,0.4386633,52
immerse,immerse,NOVA 4,0.3590768,52
settle,settle,NOVA 2,0.26461414,50
massage,massage,NOVA 2,0.32275862,50
sweeten,sweeten,NOVA 4,0.57336974,49
wilt,wilt,NOVA 1,0.19598372,48
slather,slather,NOVA 2,0.40397835,47
mould,mould,NOVA 4,0.36662897,47
blitz,blitz,NOVA 2,0.4263743,47
