Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
1.38,3.5,7.18,7.18,0.0,51.0,0.46,18.0,1.0,1.0,1.479,71.0,63.0,4
1.42,3.73,7.23,7.2,0.0,54.0,0.47,20.0,1.0,1.0,1.587,73.0,68.0,4
1.33,3.32,6.9,6.88,0.0,52.0,0.44,21.0,1.0,2.0,1.413,69.0,63.0,4
1.36,3.55,6.93,6.93,0.0,51.0,0.14,16.0,1.0,2.0,1.237,69.0,65.0,4
1.36,3.55,6.93,6.93,0.0,51.0,0.14,16.0,1.0,2.0,1.237,69.0,65.0,4
1.35,3.52,7.04,7.04,0.0,52.0,0.46,18.0,1.0,2.0,1.228,69.0,65.0,4
1.39,3.7,7.01,7.0,0.0,55.0,0.47,20.0,1.0,2.0,1.264,71.0,67.0,4
2.12,4.24,8.2,8.2,0.0,163.0,0.29,34.0,2.9,2.0,2.544,101.0,78.0,4
2.12,4.24,8.2,8.2,0.0,163.0,0.29,34.0,2.9,2.0,2.544,101.0,78.0,4
1.36,3.7,6.77,6.9,0.0,53.0,1.18,16.0,1.0,2.0,1.237,69.0,66.0,4
1.36,3.7,6.77,6.9,0.0,53.0,1.18,16.0,1.0,2.0,1.237,69.0,66.0,4
1.36,3.54,6.96,6.96,0.0,52.0,1.18,18.0,1.0,2.0,1.235,69.0,65.0,4
1.37,3.62,6.87,6.87,0.0,54.0,1.19,19.0,1.0,2.0,1.239,69.0,65.0,4
1.48,3.74,7.4,7.4,0.0,58.0,1.24,21.0,1.0,2.0,2.43,74.0,68.0,4
1.48,3.74,7.4,7.4,0.0,58.0,1.24,21.0,1.0,2.0,2.43,74.0,68.0,4
1.4,3.56,6.98,7.05,0.0,57.0,1.19,22.0,1.0,2.0,2.313,71.0,65.0,4
1.44,3.64,7.2,7.2,0.0,59.0,1.21,24.0,1.2,2.0,2.369,72.0,67.0,4
